date,district,month,visitors,year
01-09-2017,Komaram Bheem Asifabad,September,0,2017
01-10-2017,Komaram Bheem Asifabad,October,0,2017
01-11-2017,Komaram Bheem Asifabad,November,0,2017
01-12-2017,Komaram Bheem Asifabad,December,0,2017
01-01-2017,Mahabubabad ,January,0,2017
01-02-2017,Mahabubabad ,February,0,2017
01-03-2017,Mahabubabad ,March,0,2017
01-04-2017,Mahabubabad ,April,0,2017
01-05-2017,Mahabubabad ,May,0,2017
01-06-2017,Mahabubabad ,June,0,2017
01-07-2017,Mahabubabad ,July,0,2017
01-08-2017,Mahabubabad ,August,0,2017
01-09-2017,Mahabubabad ,September,0,2017
01-10-2017,Mahabubabad ,October,0,2017
01-11-2017,Mahabubabad ,November,0,2017
01-12-2017,Mahabubabad ,December,0,2017
01-01-2017,Mahbubnagar,January,42,2017
01-02-2017,Mahbubnagar,February,39,2017
01-03-2017,Mahbubnagar,March,38,2017
01-04-2017,Mahbubnagar,April,39,2017
01-05-2017,Mahbubnagar,May,41,2017
01-06-2017,Mahbubnagar,June,43,2017
01-07-2017,Mahbubnagar,July,42,2017
01-08-2017,Mahbubnagar,August,44,2017
01-09-2017,Mahbubnagar,September,54,2017
01-10-2017,Mahbubnagar,October,47,2017
01-11-2017,Mahbubnagar,November,49,2017
01-12-2017,Mahbubnagar,December,42,2017
01-01-2017,Mancherial,January,0,2017
01-02-2017,Mancherial,February,0,2017
01-03-2017,Mancherial,March,0,2017
01-04-2017,Mancherial,April,0,2017
01-05-2017,Mancherial,May,0,2017
01-06-2017,Mancherial,June, ,2017
01-07-2017,Mancherial,July,0,2017
01-08-2017,Mancherial,August,0,2017
01-09-2017,Mancherial,September,0,2017
01-10-2017,Mancherial,October,0,2017
01-11-2017,Mancherial,November,0,2017
01-12-2017,Mancherial,December,0,2017
01-01-2017,Medak ,January,0,2017
01-02-2017,Medak ,February,0,2017
01-03-2017,Medak ,March,0,2017
01-04-2017,Medak ,April,0,2017
01-05-2017,Medak ,May,0,2017
01-06-2017,Medak ,June,0,2017
01-07-2017,Medak ,July,0,2017
01-08-2017,Medak ,August,0,2017
01-09-2017,Medak ,September,0,2017
01-10-2017,Medak ,October,0,2017
01-11-2017,Medak ,November,0,2017
01-12-2017,Medak ,December,0,2017
01-01-2017,Medchal ,January, ,2017
01-02-2017,Medchal ,February, ,2017
01-03-2017,Medchal ,March, ,2017
01-04-2017,Medchal ,April, ,2017
01-05-2017,Medchal ,May, ,2017
01-06-2017,Medchal ,June, ,2017
01-07-2017,Medchal ,July, ,2017
01-08-2017,Medchal ,August, ,2017
01-09-2017,Medchal ,September, ,2017
01-10-2017,Medchal ,October, ,2017
01-11-2017,Medchal ,November, ,2017
01-12-2017,Medchal ,December, ,2017
01-01-2017,Nagarkurnool ,January,19,2017
01-02-2017,Nagarkurnool ,February,25,2017
01-03-2017,Nagarkurnool ,March,24,2017
01-04-2017,Nagarkurnool ,April,29,2017
01-05-2017,Nagarkurnool ,May,31,2017
01-06-2017,Nagarkurnool ,June,35,2017
01-07-2017,Nagarkurnool ,July,25,2017
01-08-2017,Nagarkurnool ,August,23,2017
01-09-2017,Nagarkurnool ,September,32,2017
01-10-2017,Nagarkurnool ,October,18,2017
01-11-2017,Nagarkurnool ,November,21,2017
01-12-2017,Nagarkurnool ,December,29,2017
01-01-2017,Nalgonda,January,0,2017
01-02-2017,Nalgonda,February,0,2017
01-03-2017,Nalgonda,March,0,2017
01-04-2017,Nalgonda,April,0,2017
01-05-2017,Nalgonda,May,0,2017
01-06-2017,Nalgonda,June,0,2017
01-07-2017,Nalgonda,July,0,2017
01-08-2017,Nalgonda,August,0,2017
01-09-2017,Nalgonda,September,0,2017
01-10-2017,Nalgonda,October,0,2017
01-11-2017,Nalgonda,November,0,2017
01-12-2017,Nalgonda,December,0,2017
01-01-2017,Nirmal,January,0,2017
01-02-2017,Nirmal,February,0,2017
01-03-2017,Nirmal,March,0,2017
01-04-2017,Nirmal,April,0,2017
01-05-2017,Nirmal,May,0,2017
01-06-2017,Nirmal,June, ,2017
01-07-2017,Nirmal,July,0,2017
01-08-2017,Nirmal,August,0,2017
01-09-2017,Nirmal,September,0,2017
01-10-2017,Nirmal,October,0,2017
01-11-2017,Nirmal,November,0,2017
01-12-2017,Nirmal,December,0,2017
01-01-2017,Nizamabad,January,0,2017
01-02-2017,Nizamabad,February,0,2017
01-03-2017,Nizamabad,March,0,2017
01-04-2017,Nizamabad,April,2,2017
01-05-2017,Nizamabad,May,0,2017
01-06-2017,Nizamabad,June,0,2017
01-07-2017,Nizamabad,July,0,2017
01-08-2017,Nizamabad,August,0,2017
01-09-2017,Nizamabad,September,0,2017
01-10-2017,Nizamabad,October,0,2017
01-11-2017,Nizamabad,November,0,2017
01-12-2017,Nizamabad,December,0,2017
01-01-2017,Peddapalli,January,0,2017
01-02-2017,Peddapalli,February,0,2017
01-03-2017,Peddapalli,March,0,2017
01-04-2017,Peddapalli,April,0,2017
01-05-2017,Peddapalli,May,0,2017
01-06-2017,Peddapalli,June,0,2017
01-07-2017,Peddapalli,July,0,2017
01-08-2017,Peddapalli,August,0,2017
