date,district,month,visitors,year
01-03-2018,Komaram Bheem Asifabad,March,1826,2018
01-02-2018,Komaram Bheem Asifabad,February,2736,2018
01-06-2016,Komaram Bheem Asifabad,June,0,2016
01-06-2019,Komaram Bheem Asifabad,June,506,2019
01-03-2016,Komaram Bheem Asifabad,March,0,2016
01-04-2016,Komaram Bheem Asifabad,April,0,2016
01-08-2016,Komaram Bheem Asifabad,August,0,2016
01-08-2019,Komaram Bheem Asifabad,August,2572,2019
01-01-2016,Komaram Bheem Asifabad,January,0,2016
01-01-2018,Komaram Bheem Asifabad,January,2863,2018
01-05-2019,Komaram Bheem Asifabad,May,493,2019
01-04-2018,Komaram Bheem Asifabad,April,868,2018
01-03-2019,Komaram Bheem Asifabad,March,1212,2019
01-02-2016,Komaram Bheem Asifabad,February,0,2016
01-05-2018,Komaram Bheem Asifabad,May,793,2018
01-01-2017,Mahabubabad ,January,13260,2017
01-10-2018,Mahabubabad ,October,13550,2018
01-09-2019,Mahabubabad ,September,13210,2019
01-01-2018,Mahabubabad ,January,14000,2018
01-09-2017,Mahabubabad ,September,13140,2017
01-11-2017,Mahabubabad ,November,13560,2017
01-10-2017,Mahabubabad ,October,13750,2017
01-08-2019,Mahabubabad ,August,12190,2019
01-11-2019,Mahabubabad ,November,12470,2019
01-12-2019,Mahabubabad ,December,12360,2019
01-05-2017,Mahabubabad ,May,10220,2017
01-02-2018,Mahabubabad ,February,14230,2018
01-02-2017,Mahabubabad ,February,13045,2017
01-07-2017,Mahabubabad ,July,10170,2017
01-04-2016,Mahabubabad ,April,0,2016
01-05-2016,Mahabubabad ,May,0,2016
01-06-2016,Mahabubabad ,June,0,2016
01-07-2016,Mahabubabad ,July,0,2016
01-08-2017,Mahabubabad ,August,12520,2017
01-04-2017,Mahabubabad ,April,9140,2017
01-04-2018,Mahabubabad ,April,12915,2018
01-10-2019,Mahabubabad ,October,12260,2019
01-08-2018,Mahabubabad ,August,13200,2018
01-06-2017,Mahabubabad ,June,10130,2017
01-12-2016,Mahabubabad ,December,12955,2016
01-02-2016,Mahabubabad ,February,0,2016
01-09-2018,Mahabubabad ,September,13420,2018
01-12-2018,Mahabubabad ,December,17125,2018
01-11-2018,Mahabubabad ,November,13700,2018
01-07-2019,Mahabubabad ,July,13470,2019
01-05-2019,Mahabubabad ,May,11970,2019
01-12-2017,Mahabubabad ,December,13780,2017
01-04-2019,Mahabubabad ,April,12980,2019
01-02-2019,Mahabubabad ,February,13545,2019
01-01-2019,Mahabubabad ,January,13480,2019
01-06-2019,Mahabubabad ,June,11460,2019
01-05-2018,Mahabubabad ,May,12865,2018
01-03-2018,Mahabubabad ,March,13110,2018
01-06-2018,Mahabubabad ,June,13910,2018
01-07-2018,Mahabubabad ,July,13970,2018
01-03-2019,Mahabubabad ,March,13490,2019
01-09-2016,Mahabubabad ,September,0,2016
01-03-2017,Mahabubabad ,March,9100,2017
01-11-2016,Mahabubabad ,November,114015,2016
01-01-2016,Mahabubabad ,January,0,2016
01-03-2016,Mahabubabad ,March,0,2016
